Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
Madagascar,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0,76.83,800,68.9,3.6,5.07,41.41,11.11,0.276,0.165,0.559
Malawi,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0,103.32,600,62.7,7.9,23.38,43.13,19.33,0.342,0.158,0.499
Malaysia,ASIA (EX. NEAR EAST)         ,24385858,329750,74,0,17.7,9000,88.7,179,5.48,22.86,5.05,0.084,0.48,0.436
Maldives,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,0,56.52,3900,97.2,90,13.33,34.81,7.06,0.2,0.18,0.62
Mali,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,-0.33,116.79,900,46.4,6.4,3.82,49.82,16.89,0.45,0.17,0.38
Malta,WESTERN EUROPE                     ,400214,316,1266.5,2.07,3.89,17700,92.8,505,28.13,10.22,8.1,0.03,0.23,0.74
Marshall Islands,OCEANIA                            ,60422,11854,5.1,-6.04,29.45,1600,93.7,91.2,16.67,33.05,4.78,0.317,0.149,0.534
Martinique,LATIN AMER. & CARIB    ,436131,1100,396.5,-0.05,7.09,14400,97.7,394.4,10.38,13.74,6.48,0.06,0.11,0.83
Mauritania,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,0,70.89,1800,41.7,12.9,0.48,40.99,12.16,0.25,0.29,0.46
Mauritius,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,-0.9,15.03,11400,85.6,289.3,49.26,15.43,6.86,0.059,0.298,0.643
Mayotte,SUB-SAHARAN AFRICA                 ,201234,374,538.1,6.78,62.4,2600,,49.7,,40.95,7.7,,,
Mexico,LATIN AMER. & CARIB    ,107449525,1972550,54.5,-4.87,20.91,9000,92.2,181.6,12.99,20.69,4.74,0.038,0.259,0.702
"Micronesia, Fed. St.",OCEANIA                            ,108004,702,153.9,-20.99,30.21,2000,89,114.8,5.71,24.68,4.75,0.289,0.152,0.559
Moldova,C.W. OF IND. STATES ,4466706,33843,132,-0.26,40.42,1800,99.1,208.1,55.3,15.7,12.64,0.213,0.233,0.555
Monaco,WESTERN EUROPE                     ,32543,2,16271.5,7.75,5.43,27000,99,1035.6,0,9.19,12.91,0.17,,
Mongolia,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0,53.79,1800,97.8,55.1,0.77,21.59,6.95,0.206,0.214,0.58
Montserrat,LATIN AMER. & CARIB    ,9439,102,92.5,0,7.35,3400,97,,20,17.59,7.1,,,
Morocco,NORTHERN AFRICA                    ,33241259,446550,74.4,-0.98,41.62,4000,51.7,40.4,19.61,21.98,5.58,0.217,0.357,0.426
Mozambique,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0,130.79,1200,47.8,3.5,5.1,35.18,21.35,0.262,0.348,0.39
Namibia,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,0,48.98,7200,84,62.6,0.99,24.32,18.86,0.097,0.315,0.588
Nauru,OCEANIA                            ,13287,21,632.7,0,9.95,5000,,143,0,24.76,6.7,,,
Nepal,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0,66.98,1400,45.2,15.9,21.68,30.98,9.31,0.38,0.21,0.41
